Env,Year,Field_Location,Experiment,Replicate,Block,Plot,Range,Pass,Hybrid,Hybrid_orig_name,Hybrid_Parent1,Hybrid_Parent2,Plot_Area_ha,Date_Planted,Date_Harvested,Stand_Count_plants,Pollen_DAP_days,Silk_DAP_days,Plant_Height_cm,Ear_Height_cm,Root_Lodging_plants,Stalk_Lodging_plants,Yield_Mg_ha,Grain_Moisture,Twt_kg_m3
NEH3_2015,2015,NEH3,G2F_2014_15,2,1,261,14.0,20.0,W10004_0097/PHZ51,W10004_0097/PHZ51,W10004_0097,PHZ51,0.0006898056818181,6/10/2015,12/14/2015,30.0,62.0,62.0,,,,1.0,6.2643866892526,12.5,801.91640073216
NCH1_2020,2020,NCH1,G2F_2020_21_PHZ51,1,25,241,14.0,1.0,W10004_0798/PHZ51,W10004_0798/PHZ51,W10004_0798,PHZ51,0.0006131606060606,4/23/20,8/31/20,40.0,,,198.75,90.0,0.0,1.0,5.91962452800264,15.7,713.10061959168
NYH2_2018,2018,NYH2,G2F_2018_19_PHT69,1,1,339,15.0,14.0,MO44_PHW65_0139/PHT69,MO44_PHW65_0139/PHT69,MO44_PHW65_0139,PHT69,0.0008129023186409,5/18/2018,12/10/2018,57.0,66.0,67.0,182.0,100.0,10.0,1.0,6.63830867695379,20.78,772.697295922176
MOH1_1_2020,2020,MOH1,G2F_2020_21_PHP02,1,15,1145,118.0,104.0,F42/H95,F42/H95,F42,H95,0.0007896765381083,6/2/2020,10/19/20,45.0,54.0,55.0,222.0,93.0,1.0,1.0,10.4799438514817,12.8,
KSH1_2018,2018,KSH1,G2F_2018_19_LH195,2,2,304,15.0,100.0,B14A/OH43,B14A/OH43,B14A,OH43,0.0008129023186409,5/7/2018,10/6/2018,7.0,,,,,7.0,,3.75538963825781,17.7,741.41869473792
MIH1_2020,2020,MIH1,G2F_2020_21_PHP02,2,1,406,12.0,8.0,W10004_0950/PHP02,W10004_0950/PHP02,W10004_0950,PHP02,0.0010219343434343,5/25/20,10/28/20,47.0,56.0,56.0,238.5,113.5,0.0,3.0,7.13678074695447,19.7,731.12121286656
MIH1_2016,2016,MIH1,G2F_2016_17,1,1,197,9.0,5.0,CG120/PHR25,CG120/PHR25,CG120,PHR25,0.0010219343434343,5/24/16,11/16/16,55.0,51.0,52.0,193.0,104.0,,,4.97390559978981,14.6,668.04913640448
NEH2_2014,2014,NEH2,G2F_2014_15,1,4,75,5.0,22.0,B73/TX205,B73/TX205,B73,TX205,0.0008129023186409,5/15/14,11/5/14,36.0,75.0,75.0,172.0,102.0,,2.0,4.07512283667896,18.8,718.24936052736
NYH2_2019,2019,NYH2,G2F_PHT69,1,3,300,7.0,3.0,PHN11_PHW65_0395/PHT69,PHN11_PHW65_0395/PHT69,PHN11_PHW65_0395,PHT69,0.0006503218549127,5/23/19,12/11/19,55.0,71.0,71.0,229.0,127.0,0.0,0.0,13.8525253385691,19.2,722.11091622912
TXH3_2020,2020,TXH3,HIP_Hybrid,2,1,579,11.0,175.0,PHB47/PHN82,PHB47/PHN82,PHB47,PHN82,0.0007896765381083,4/8/20,8/13/20,17.0,,,215.9,73.66,,,2.37227879235951,11.2,698.94158201856
GAH2_2018,2018,GAH2,G2F_2018_19_LH195,2,2,28,11.0,17.0,PHN11_PHW65_0347/LH195,PHN11_PHW65_0347/LH195,PHN11_PHW65_0347,LH195,0.0009290312213039,5/1/2018,9/11/2018,68.0,57.0,56.0,235.0,116.0,,,10.8004328105469,13.9,768.44958465024
WIH1_2019,2019,WIH1,G2F_PHT69,2,4,456,34.0,65.0,PHN11_PHW65_0333/PHT69,PHN11_PHW65_0333/PHT69,PHN11_PHW65_0333,PHT69,0.0009290312213039,5/12/19,10/26/19,43.0,75.0,80.0,238.33,120.0,0.0,0.0,13.4332985293172,22.4,715.67499005952
NEH4_2016,2016,NEH4,G2F_2016_17,1,1,27,,,MBNIL_B122/PHZ51,MBNIL B122/PHZ51,MBNIL_B122,PHZ51,0.0008361280991735,6/7/16,11/9/16,49.0,55.0,57.0,300.0,95.0,7.0,,5.08622152883894,14.1,795.48047456256
MIH1_2017,2017,MIH1,G2F_2016_17,1,1,139,,,S8326/PHRE1,S8326/PHRE1,S8326,PHRE1,0.0010451601239669,5/22/17,10/20/17,61.0,58.0,58.0,103.0,49.0,,6.0,8.88790193510455,17.2,753.0033618432
MOH1_2015,2015,MOH1,G2F_2014_15,1,5,124,5.0,4.0,W10004_0082/LH82,W10004_0082/LH82,W10004_0082,LH82,0.00094761184573,5/4/2015,10/5/2015,62.0,69.0,70.0,185.0,70.0,0.0,11.0,6.48584019658594,14.3,
NEH2_2018,2018,NEH2,G2F_2018_19_LH195,2,2,64,14.0,4.0,F42/MO17,F42/MO17,F42,MO17,0.0006967734159779,5/8/2018,9/27/2018,56.0,,,290.0,121.0,,,12.5422356262189,13.7,776.17269605376
WIH1_2017,2017,WIH1,G2F_2016_17,2,2,267,,,W10004_0119/DK3IIH6,W10004_0119/3IIH6,W10004_0119,DK3IIH6,0.0010219343434343,5/5/17,10/19/17,,,,,,,,,,
IAH2_2016,2016,IAH2,G2F_2016_17,1,1,100,7.0,13.0,W10004_0026/DK3IIH6,W10004_0026/3IIH6,W10004_0026,DK3IIH6,0.0008129023186409,4/25/16,10/11/16,64.0,77.0,78.0,216.0,114.0,,22.0,2.02503466812489,14.1,482.69446272
TXH1-Dry_2018,2018,TXH1-Dry,G2F_2018_19_LH195,1,1,63,,,F42/H95,F42/H95,F42,H95,0.0009754827823691,3/8/2018,7/28/2018,78.0,71.0,73.0,218.0,89.0,,,8.39203734974208,9.9,750.42899137536
SDH1_2015,2015,SDH1,G2F_2014_15,1,1,12,12.0,1.0,CG60/LH162,CG60/LH162,CG60,LH162,0.0006967734159779,5/22/2015,10/28/2015,41.0,63.0,63.0,116.0,56.0,0.0,3.0,2.00304737146636,0.0,0.0
NCH1_2021,2021,NCH1,G2F_2020_21_PHZ51,1,22,217,16.0,8.0,F42/OH43,F42/OH43,F42,OH43,0.0006689024793388,2021-04-21,2021-09-20,35.0,,,,,0.0,0.0,8.3593981618448,16.2,773.59832558592
IAH2_2019,2019,IAH2,G2F_LH195,1,1,69,5.0,28.0,PHW65_MOG_0055/LH195,PHW65_MOG_0055/LH195,PHW65_MOG_0055,LH195,0.0006735476354453,4/26/19,10/26/19,60.0,,,210.0,110.0,0.0,0.0,14.759393461326,22.9,684.78254444544
TXH2_2014,2014,TXH2,G2F_2014_15,1,1,48,4.0,8.0,MOG_MO45-045-1-1-1-1-B/PB80,MOG_MO45-045-1-1-1-1-B/PB80,MOG_MO45-045-1-1-1-1-B,PB80,0.0008361280991735,4/23/14,9/30/14,58.0,81.0,82.0,197.0,81.0,0.0,1.0,11.4467480463602,16.8,789.04454839296
IAH4_2021,2021,IAH4,G2F_2020_21_PHZ51,1,17,211,8.0,10.0,W10004_0395/PHZ51,W10004_0395/PHZ51,W10004_0395,PHZ51,0.0008129023186409,2021-04-28,2021-11-03,49.0,77.0,78.0,,,6.0,1.0,9.28961501691719,15.1,747.85462090752
NEH4_2016,2016,NEH4,G2F_2016_17,1,1,216,7.0,6.0,LH195/LH38,LH195/LH38,LH195,LH38,0.0008361280991735,6/7/16,11/9/16,70.0,55.0,56.0,260.0,80.0,,,10.0004671352205,14.8,787.75736315904
IAH3_2016,2016,IAH3,G2F_2016_17,2,2,51,27.0,7.0,PHG39/PHN82,PHG39/PHN82,PHG39,PHN82,0.0008129023186409,4/24/16,10/6/16,58.0,81.0,85.0,250.0,137.0,,,11.1304334789901,19.4,715.67499005952
IAH3_2019,2019,IAH3,G2F_LH195,2,6,839,43.0,18.0,MO44_PHW65_0391/LH195,MO44_PHW65_0391/LH195,MO44_PHW65_0391,LH195,0.0006735476354453,5/6/19,10/27/19,41.0,,,230.0,110.0,0.0,0.0,12.6973172925348,24.6,678.34661827584
NYH1_2014,2014,NYH1,G2F_2014_15,2,7,201,13.0,16.0,DOEBLER'S 4115AM,DOEBLER'S 4115AM,,,0.0007896765381083,5/29/14,12/8/14,,,,,,,,,,
NYH3_2015,2015,NYH3,G2F_2014_15,1,10,233,8.0,8.0,W10006_0004/PHB47,W10006_0004/PHB47,W10006_0004,PHB47,0.0008129023186409,5/23/2015,11/17/2015,67.0,73.0,74.0,220.0,105.0,2.0,16.0,5.41298238818179,17.2,
NEH3_2020,2020,NEH3,G2F_2020_21_PHZ51,2,35,345,13.0,9.0,W10004_0069/PHZ51,W10004_0069/PHZ51,W10004_0069,PHZ51,0.0008593538797061,5/9/20,11/4/20,67.0,70.0,72.0,210.0,95.0,0.0,5.0,9.53368074432351,11.11,785.1829926912
TXH3_2021,2021,TXH3,G2F_2020_21_PHZ51,1,7,70,3.0,187.0,W10004_0827/PHZ51,W10004_0827/PHZ51,W10004_0827,PHZ51,0.0007896765381083,2021-04-09,2021-08-31,88.0,58.0,58.0,251.46,101.6,,,3.23441798528204,10.9,729.83402763264
MIH1_2020,2020,MIH1,G2F_2020_21_PHP02,2,12,634,17.0,9.0,B37/H95,B37/H95,B37,H95,0.0010219343434343,5/25/20,10/28/20,83.0,63.0,67.0,265.5,147.5,8.0,32.0,6.20446024645364,23.2,698.94158201856
DEH1_2019,2019,DEH1,G2F_LH195,2,8,639,15.0,12.0,PHN11_PHW65_0103/LH195,PHN11_PHW65_0103/LH195,PHN11_PHW65_0103,LH195,0.0006969282545148,5/9/2019,9/12/2019,51.0,59.0,59.0,218.0,105.0,0.0,0.0,13.6127664937627,21.1,673.19787734016
DEH1_2019,2019,DEH1,G2F_LH195,1,5,356,37.0,5.0,CG44/CGR01,CG44/CGR01,CG44,CGR01,0.0006969282545148,5/9/2019,9/12/2019,55.0,59.0,61.0,214.0,98.0,0.0,0.0,11.5904462134563,20.8,696.36721155072
TXH3_2020,2020,TXH3,G2F_2020_21_PHZ51,2,27,263,10.0,211.0,W10004_0649/PHZ51,W10004_0649/PHZ51,W10004_0649,PHZ51,0.0007896765381083,4/8/20,8/14/20,77.0,59.0,61.0,231.14,73.66,,,5.80726621084654,9.02,2831.807514624
IAH1_2021,2021,IAH1,YELLOW_STRIPE,1,1,2,3.0,78.0,F42/OH43,F42/OH43,F42,OH43,0.0008129023186409,2021-05-01,2021-10-19,49.0,,,,,1.0,3.0,9.56453740728271,14.6,702.80313772032
NYH1_2014,2014,NYH1,G2F_2014_15,1,2,45,2.0,8.0,Z022E0142/LH198,Z022E0142/LH198,Z022E0142,LH198,0.0007896765381083,5/29/14,12/8/14,62.0,69.0,,247.0,114.0,0.0,0.0,10.3364449867595,21.7,
NEH2_2020,2020,NEH2,G2F_2020_21_PHZ51,1,14,133,4.0,19.0,W10004_0092/PHZ51,W10004_0092/PHZ51,W10004_0092,PHZ51,0.0008593538797061,5/14/20,10/21/20,48.0,70.0,72.0,,,0.0,6.0,11.8494598217212,12.38,780.03425175552
MOH2_2015,2015,MOH2,G2F_2014_15,1,1,21,1.0,21.0,DKFBHJ/LH82,DKFBHJ/LH82,DKFBHJ,LH82,0.00094761184573,5/5/2015,10/2/2015,62.0,66.0,68.0,175.0,80.0,0.0,0.0,6.32795293313631,14.4,
NYH2_2016,2016,NYH2,G2F_2016_17,2,2,233,18.0,8.0,CG124/PHHV4,CG124/PHHV4,CG124,PHHV4,0.0008129023186409,5/10/16,12/8/16,65.0,68.0,69.0,181.0,81.0,4.0,7.0,2.54711685879835,16.6,
OHH1_2016,2016,OHH1,G2F_2016_17,2,2,198,8.0,28.0,F42/MO17,F42/MO17,F42,MO17,0.0010451601239669,5/27/16,10/15/16,84.0,,,274.0,135.0,,80.0,8.43193576292869,18.2,715.67499005952
IAH3_2021,2021,IAH3,G2F_2020_21_PHP02,1,15,1198,39.0,34.0,W10004_0819/PHP02,W10004_0819/PHP02,W10004_0819,PHP02,0.0008129023186409,2021-05-06,2021-10-20,68.0,,,295.0,149.0,3.0,0.0,14.1057782618365,15.1,723.39810146304
INH1_2018,2018,INH1,G2F_2018_19_LH195,1,1,103,,,PHW65_MOG_0262/LH195,PHW65_MOG_0262/LH195,PHW65_MOG_0262,LH195,0.0008129023186409,5/7/2018,9/19/2018,59.0,67.0,67.0,220.0,114.0,,,10.6152681868989,24.95,824.184705278976
MIH1_2021,2021,MIH1,G2F_2020_21_PHP02,1,14,263,15.0,6.0,W10004_0689/PHP02,W10004_0689/PHP02,W10004_0689,PHP02,0.0010219343434343,2021-05-13,2021-10-19,71.0,75.0,77.0,205.5,79.0,0.0,1.0,13.3488001732958,23.8,704.09032295424
GEH1_2019,2019,GEH1,G2F_PHT69,2,1,486,11.0,21.0,MO44_PHW65_0067/PHT69,MO44_PHW65_0067/PHT69,MO44_PHW65_0067,PHT69,0.0007982700769054,5/14/19,11/20/19,76.0,81.0,83.0,281.0,151.0,,,14.9792757454513,34.261,
TXH3_2019,2019,TXH3,G2F_LH195,1,2,145,5.0,17.0,MO44_PHW65_0116/LH195,MO44_PHW65_0116/LH195,MO44_PHW65_0116,LH195,0.0007896765381083,3/20/19,8/20/19,42.0,71.0,72.0,211.0,58.0,0.0,0.0,7.72982556556452,10.7,807.86319651287
IAH2_2018,2018,IAH2,G2F_2018_19_LH195,2,2,259,33.0,35.0,PHN11_PHW65_0080/LH195,PHN11_PHW65_0080/LH195,PHN11_PHW65_0080,LH195,0.0008129023186409,4/29/2018,10/23/2018,70.0,70.0,73.0,235.0,89.0,6.0,40.0,14.1333960362111,17.3,754.29054707712
SCH1_2019,2019,SCH1,G2F_LH195,1,3,228,6.0,43.0,MO44_PHW65_0136/LH195,MO44_PHW65_0136/LH195,MO44_PHW65_0136,LH195,0.0006038702938475,5/2/19,9/5/19,47.0,,56.0,185.42,55.88,2.0,,3.83218815669387,15.47,
COH1_2017,2017,COH1,G2F_2016_17,4,4,23,,,PHN11_PHW65_0323/LH195,PHN11_PHW65_0323/LH195,PHN11_PHW65_0323,LH195,0.0006967734159779,5/31/17,11/20/17,56.0,75.0,77.0,230.0,98.0,,5.0,5.51100134111709,37.8,570.22305862656
DEH1_2019,2019,DEH1,G2F_PHT69,2,10,841,36.0,11.0,PHW65_MOG_0444/PHT69,PHW65_MOG_0444/PHT69,PHW65_MOG_0444,PHT69,0.0006969282545148,5/9/2019,9/12/2019,65.0,55.0,56.0,204.0,95.0,0.0,0.0,12.339111399493,19.9,750.42899137536
IAH4_2016,2016,IAH4,G2F_2016_17,2,2,52,42.0,6.0,LH198/PHZ51,LH198/PHZ51,LH198,PHZ51,0.0008129023186409,4/26/16,10/17/16,71.0,77.0,78.0,230.0,113.0,,,11.7644037516842,15.9,734.98276856832
IAH4_2018,2018,IAH4,G2F_2018_19_LH195,1,1,40,5.0,47.0,MO44_PHW65_0319/LH195,MO44_PHW65_0319/LH195,MO44_PHW65_0319,LH195,0.0008129023186409,5/15/2018,10/26/2018,75.0,61.0,61.0,240.0,122.0,,3.0,12.2064285968911,20.7,733.6955833344
